,Unnamed: 0,trial,weighted_node_coverage,node_coverage,weighted_edge_coverage,edge_coverage,avg_fixation_duration,num_fixations,accuracy,completeness,conciseness,clarity,confidence,max_depth,edges_proportion,path,average_depth,total_score,score_percentile,conf_percentile,conf_perc_diff,conf_abs_perc_diff,total_fixation_time,task,method,participant,study,average_total_score
14,14,32_T1_points,0.3333333333333334,1,0.0,0,215.42307692307693,52,4.0,4.0,3.0,3.0,5.0,0,0.0,['AwtImage:points()_0'],0.0,14.0,,,,,11202.0,scrimage,points,32,2,3.5
4,4,24_T4_find,0.5555555555555555,3,0.1666666666666666,1,522.1463414634145,41,5.0,3.0,2.0,4.0,4.0,1,0.0555555555555555,"['Audible:find(String)_0', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1']",0.9985596097193772,14.0,8.823529411764707,11.764705882352942,2.9411764705882355,2.9411764705882355,21407.999999999993,openaudible,find,24,2,3.5
5,5,25_T4_find,0.5555555555555555,3,0.1666666666666666,1,390.375,40,5.0,4.0,2.0,5.0,4.0,1,0.4545454545454545,"['Audible:find(String)_0', 'Audible:findFirst(String, boolean)_1', 'Audible:find(String)_0', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:find(String)_0', 'Audible:findFirst(String, boolean)_1']",0.9944032270616616,16.0,29.411764705882355,11.764705882352942,-17.647058823529413,17.647058823529413,15615.0,openaudible,find,25,2,4.0
6,6,26_T4_find,0.6666666666666666,4,0.1666666666666666,1,490.0980392156861,51,4.0,4.0,5.0,5.0,5.0,1,0.0344827586206896,"['Audible:find(String)_0', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1']",0.9954347177334866,18.0,67.64705882352942,58.82352941176471,-8.82352941176471,8.82352941176471,24994.99999999999,openaudible,find,26,2,4.5
10,10,31_T4_find,0.6666666666666666,4,0.1666666666666666,1,430.65441176470586,136,5.0,5.0,4.0,4.0,5.0,1,0.1428571428571428,"['Audible:find(String)_0', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:find(String)_0', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:find(String)_0', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:find(String)_0', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'Audible:findFirst(String)_1', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'Audible:findFirst(String)_1', 'Audible:findFirst(String, boolean)_1', 'Audible:findFirst(String)_1', 'AudibleCLI:doCommand(AudibleCmd, String[])_1']",0.9746271248576996,18.0,67.64705882352942,58.82352941176471,-8.82352941176471,8.82352941176471,58569.0,openaudible,find,31,2,4.5
3,3,22_T4_test,0.8,4,0.5,2,1582.794871794872,39,5.0,4.0,2.0,3.0,4.0,3,0.8181818181818182,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommandLine()_2', 'AudibleCLI:run()_3', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1']",0.2368765755034685,14.0,13.333333333333334,43.333333333333336,30.0,30.0,61729.00000000001,openaudible,test,22,2,3.5
4,4,24_T4_test,0.4,2,0.25,1,311.0,13,4.0,4.0,3.0,2.0,3.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.2381852551984877,13.0,3.3333333333333335,13.333333333333334,10.0,10.0,4043.0,openaudible,test,24,2,3.25
5,5,26_T4_test,0.4,2,0.25,1,307.7,10,4.0,3.0,5.0,4.0,4.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.0121301457152947,16.0,40.0,43.333333333333336,3.3333333333333357,3.3333333333333357,3077.0,openaudible,test,26,2,4.0
6,6,27_T4_test,0.4,2,0.25,1,528.6020408163265,98,4.0,5.0,3.0,4.0,4.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.5011831288893441,16.0,40.0,43.333333333333336,3.3333333333333357,3.3333333333333357,51803.0,openaudible,test,27,2,4.0
7,7,28_T4_test,0.4,2,0.25,1,1452.388888888889,18,5.0,5.0,1.0,4.0,5.0,1,1.0,"['AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0', 'AudibleCLI:doCommand(AudibleCmd, String[])_1', 'AudibleCLI:test(List<Book>)_0']",0.0674115615679895,15.0,23.333333333333336,83.33333333333334,60.00000000000001,60.00000000000001,26143.0,openaudible,test,28,2,3.75
